Model,Type,Error,MAE,MAPE,Directional_Accuracy
Flat Moving Avg,Baseline,-126.39926014166674,229.89758049826392,14.024647205160578,0.0
Flat Naive,Baseline,170.34242520416674,210.98396369583338,15.095926647728438,0.0
Rolling Moving Avg,Baseline,21.89964546785714,32.349078008333294,2.076077984307748,0.9565217391304348
Seasonal Naive,Baseline,-126.39926014166662,128.58248856666663,7.571347066029106,0.8260869565217391
