Datetime,Actual,Prediction,Error,Percent Error
2024-12-31 00:00:00,1477.3493339,1416.9633398,60.385994099999834,4.087455330594632
2024-12-31 01:00:00,1413.3211113,1366.7193119,46.60179939999989,3.2973256415263377
2024-12-31 02:00:00,1391.7664066,1365.4310317,26.335374900000033,1.8922266534896284
2024-12-31 03:00:00,1380.6878692,1357.1044355,23.583433700000114,1.7080930618782693
2024-12-31 04:00:00,1385.6812507,1367.4007056,18.280545099999927,1.3192460452766612
2024-12-31 05:00:00,1431.887742,1416.2925727,15.595169299999952,1.0891335153283233
2024-12-31 06:00:00,1503.38633,1505.327769,-1.9414389999999457,-0.12913773135079296
2024-12-31 07:00:00,1622.1037517,1591.7396982,30.364053499999955,1.8718934265565792
2024-12-31 08:00:00,1706.7674899,1679.2445251,27.52296480000018,1.612578453882594
2024-12-31 09:00:00,1744.4473579,1742.6432954,1.8040625000001,0.10341742282047799
2024-12-31 10:00:00,1774.1934864,1776.1302098,-1.936723400000119,-0.10916077726843125
2024-12-31 11:00:00,1812.2416213,1815.4767347,-3.2351134000000457,-0.17851446308132785
2024-12-31 12:00:00,1797.5814038,1809.3313071,-11.749903299999914,-0.6536506928232116
2024-12-31 13:00:00,1795.3156015,1808.4407108,-13.125109300000076,-0.7310753211877592
2024-12-31 14:00:00,1767.6210989,1781.3939527,-13.772853799999893,-0.7791745532213217
2024-12-31 15:00:00,1772.0348013,1780.0580059,-8.023204599999872,-0.4527678911336216
2024-12-31 16:00:00,1832.2169071,1842.1104806,-9.893573500000002,-0.5399782886874116
2024-12-31 17:00:00,1859.0578611,1905.9874876,-46.92962649999981,-2.524376862172093
2024-12-31 18:00:00,1791.3608995,1861.697687,-70.33678750000013,-3.9264442759486573
2024-12-31 19:00:00,1710.622983,1812.1198087,-101.49682570000004,-5.933325268552179
2024-12-31 20:00:00,1666.3407337,1756.7855072,-90.44477349999988,-5.427747859177229
2024-12-31 21:00:00,1622.8339992,1705.6706712,-82.83667199999991,-5.104445189146608
2024-12-31 22:00:00,1564.2494169,1623.888329,-59.6389121000002,-3.812621660949152
2024-12-31 23:00:00,1508.1778991,1551.982238,-43.80433889999995,-2.9044543701469197
