Datetime,Actual,Prediction,Model,Fold,Type
2012-07-17 02:00:00,1274.6977746,1774.630599,Flat Naive,0,Baseline
2012-07-17 03:00:00,1261.9095809,1774.630599,Flat Naive,0,Baseline
2012-07-17 04:00:00,1256.7986233,1774.630599,Flat Naive,0,Baseline
2012-07-17 05:00:00,1260.231229,1774.630599,Flat Naive,0,Baseline
2012-07-17 06:00:00,1347.3597457,1774.630599,Flat Naive,0,Baseline
2012-07-17 07:00:00,1512.6322361,1774.630599,Flat Naive,0,Baseline
2012-07-17 08:00:00,1619.613267,1774.630599,Flat Naive,0,Baseline
2012-07-17 09:00:00,1717.358205,1774.630599,Flat Naive,0,Baseline
2012-07-17 10:00:00,1784.2622134,1774.630599,Flat Naive,0,Baseline
2012-07-16 11:00:00,1830.2177734,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 12:00:00,1857.9490405,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 13:00:00,1868.2422174,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 14:00:00,1861.3391873,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 15:00:00,1843.3925297,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 16:00:00,1830.5965453,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 17:00:00,1808.7437469,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 18:00:00,1761.735459,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 19:00:00,1717.9615866,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 20:00:00,1660.0238232,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 21:00:00,1609.7402429,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 22:00:00,1607.8527748,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 23:00:00,1508.0127713,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 00:00:00,1385.3600112,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 01:00:00,1316.8855866,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 02:00:00,1274.6977746,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 03:00:00,1261.9095809,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 04:00:00,1256.7986233,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 05:00:00,1260.231229,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 06:00:00,1347.3597457,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 07:00:00,1512.6322361,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 08:00:00,1619.613267,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 09:00:00,1717.358205,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-17 10:00:00,1784.2622134,1477.8889136541666,Flat Moving Avg,0,Baseline
2012-07-16 11:00:00,1830.2177734,1832.4041184599357,Linear Regression,0,
2012-07-16 12:00:00,1857.9490405,1882.2641979190118,Linear Regression,0,
2012-07-16 13:00:00,1868.2422174,1921.4224743449633,Linear Regression,0,
2012-07-16 14:00:00,1861.3391873,1934.5461064323815,Linear Regression,0,
2012-07-16 15:00:00,1843.3925297,1948.7124303260523,Linear Regression,0,
2012-07-16 16:00:00,1830.5965453,1948.1945725929497,Linear Regression,0,
2012-07-16 17:00:00,1808.7437469,1927.551733400068,Linear Regression,0,
2012-07-16 18:00:00,1761.735459,1911.5592160351582,Linear Regression,0,
2012-07-16 19:00:00,1717.9615866,1874.4283101804174,Linear Regression,0,
2012-07-16 20:00:00,1660.0238232,1808.2156078402525,Linear Regression,0,
2012-07-16 21:00:00,1609.7402429,1751.638474838461,Linear Regression,0,
2012-07-16 22:00:00,1607.8527748,1719.5692038617678,Linear Regression,0,
2012-07-16 23:00:00,1508.0127713,1664.2031484457495,Linear Regression,0,
2012-07-17 00:00:00,1385.3600112,1564.726990301516,Linear Regression,0,
2012-07-17 01:00:00,1316.8855866,1480.376227140792,Linear Regression,0,
2012-07-17 02:00:00,1274.6977746,1417.8391792808409,Linear Regression,0,
2012-07-17 03:00:00,1261.9095809,1377.6600966531116,Linear Regression,0,
2012-07-17 04:00:00,1256.7986233,1360.5833425162587,Linear Regression,0,
2012-07-17 05:00:00,1260.231229,1353.7761920777466,Linear Regression,0,
2012-07-17 06:00:00,1347.3597457,1399.1389679551792,Linear Regression,0,
2012-07-17 07:00:00,1512.6322361,1514.5939489380692,Linear Regression,0,
2012-07-17 08:00:00,1619.613267,1657.3865940722997,Linear Regression,0,
2012-07-17 09:00:00,1717.358205,1782.857605840217,Linear Regression,0,
2012-07-17 10:00:00,1784.2622134,1868.3318466777366,Linear Regression,0,
2012-07-16 11:00:00,1830.2177734,1746.4164792483327,Random Forest,0,
2012-07-16 12:00:00,1857.9490405,1769.1236876766666,Random Forest,0,
2012-07-16 13:00:00,1868.2422174,1830.8781302700002,Random Forest,0,
2012-07-16 14:00:00,1861.3391873,1832.6160275600007,Random Forest,0,
2012-07-16 15:00:00,1843.3925297,1830.5523889350006,Random Forest,0,
2012-07-16 16:00:00,1830.5965453,1807.6685198733342,Random Forest,0,
2012-07-16 17:00:00,1808.7437469,1772.2780267500004,Random Forest,0,
2012-07-16 18:00:00,1761.735459,1762.7749475400005,Random Forest,0,
2012-07-16 19:00:00,1717.9615866,1736.1975442526666,Random Forest,0,
2012-07-16 20:00:00,1660.0238232,1718.114459508333,Random Forest,0,
2012-07-16 21:00:00,1609.7402429,1614.880617505277,Random Forest,0,
2012-07-16 22:00:00,1607.8527748,1601.2758432316666,Random Forest,0,
2012-07-16 23:00:00,1508.0127713,1578.7051010916666,Random Forest,0,
2012-07-17 00:00:00,1385.3600112,1450.9035620641666,Random Forest,0,
2012-07-17 01:00:00,1316.8855866,1376.9162055216664,Random Forest,0,
2012-07-17 02:00:00,1274.6977746,1316.062966605833,Random Forest,0,
2012-07-17 03:00:00,1261.9095809,1284.770467783333,Random Forest,0,
2012-07-17 04:00:00,1256.7986233,1249.05127249,Random Forest,0,
2012-07-17 05:00:00,1260.231229,1245.0664676350002,Random Forest,0,
2012-07-17 06:00:00,1347.3597457,1315.4927276150001,Random Forest,0,
2012-07-17 07:00:00,1512.6322361,1482.0903255950006,Random Forest,0,
2012-07-17 08:00:00,1619.613267,1599.0094615223884,Random Forest,0,
2012-07-17 09:00:00,1717.358205,1663.672635015999,Random Forest,0,
2012-07-17 10:00:00,1784.2622134,1752.8452044295823,Random Forest,0,
2012-07-16 11:00:00,1830.2177734,1766.6612548828125,XGBoost,0,
2012-07-16 12:00:00,1857.9490405,1760.2706298828125,XGBoost,0,
2012-07-16 13:00:00,1868.2422174,1858.854736328125,XGBoost,0,
2012-07-16 14:00:00,1861.3391873,1858.0421142578125,XGBoost,0,
2012-07-16 15:00:00,1843.3925297,1856.7108154296875,XGBoost,0,
2012-07-16 16:00:00,1830.5965453,1805.473876953125,XGBoost,0,
2012-07-16 17:00:00,1808.7437469,1752.4061279296875,XGBoost,0,
2012-07-16 18:00:00,1761.735459,1744.8653564453125,XGBoost,0,
2012-07-16 19:00:00,1717.9615866,1748.079833984375,XGBoost,0,
2012-07-16 20:00:00,1660.0238232,1739.68505859375,XGBoost,0,
2012-07-16 21:00:00,1609.7402429,1679.7587890625,XGBoost,0,
2012-07-16 22:00:00,1607.8527748,1687.814208984375,XGBoost,0,
2012-07-16 23:00:00,1508.0127713,1680.1114501953125,XGBoost,0,
