Datetime,Actual,Prediction,Error,Percent Error
2024-12-31 00:00:00,1477.3493339,1651.664158966667,-174.31482506666703,-11.799160907088899
2024-12-31 01:00:00,1413.3211113,1651.664158966667,-238.34304766666696,-16.864040716651747
2024-12-31 02:00:00,1391.7664066,1651.664158966667,-259.89775236666696,-18.673949244225636
2024-12-31 03:00:00,1380.6878692,1651.664158966667,-270.9762897666669,-19.6261802404099
2024-12-31 04:00:00,1385.6812507,1651.664158966667,-265.982908266667,-19.1951004700613
2024-12-31 05:00:00,1431.887742,1651.664158966667,-219.77641696666706,-15.348718375065681
2024-12-31 06:00:00,1503.38633,1651.664158966667,-148.2778289666669,-9.862922524156973
2024-12-31 07:00:00,1622.1037517,1651.664158966667,-29.56040726666697,-1.8223499721079506
2024-12-31 08:00:00,1706.7674899,1651.664158966667,55.103330933333154,3.2285200684576942
2024-12-31 09:00:00,1744.4473579,1651.664158966667,92.7831989333331,5.318773221395877
2024-12-31 10:00:00,1774.1934864,1651.664158966667,122.52932743333304,6.906198696623342
2024-12-31 11:00:00,1812.2416213,1651.664158966667,160.57746233333296,8.860709325180588
2024-12-31 12:00:00,1797.5814038,1651.664158966667,145.91724483333314,8.117420692318642
2024-12-31 13:00:00,1795.3156015,1651.664158966667,143.651442533333,8.001459042260377
2024-12-31 14:00:00,1767.6210989,1651.664158966667,115.95693993333316,6.5600563381764205
2024-12-31 15:00:00,1772.0348013,1651.664158966667,120.37064233333308,6.792792232129233
2024-12-31 16:00:00,1832.2169071,1651.664158966667,180.55274813333313,9.854332608419641
2024-12-31 17:00:00,1859.0578611,1651.664158966667,207.39370213333314,11.155849770626224
2024-12-31 18:00:00,1791.3608995,1651.664158966667,139.696740533333,7.798358252227389
2024-12-31 19:00:00,1710.622983,1651.664158966667,58.95882403333303,3.446628779062361
2024-12-31 20:00:00,1666.3407337,1651.664158966667,14.676574733333155,0.8807667265472642
2024-12-31 21:00:00,1622.8339992,1651.664158966667,-28.83015976666684,-1.7765316588683184
2024-12-31 22:00:00,1564.2494169,1651.664158966667,-87.41474206666703,-5.588286696625652
2024-12-31 23:00:00,1508.1778991,1651.664158966667,-143.48625986666684,-9.513881615178937
