Datetime,Actual,Prediction,Error,Percent Error
2024-12-31 00:00:00,1477.3493339,1388.8166941285713,88.53263977142865,5.992667931674264
2024-12-31 01:00:00,1413.3211113,1346.6979459142858,66.62316538571417,4.713943975862138
2024-12-31 02:00:00,1391.7664066,1326.3647484142857,65.40165818571427,4.699183560945871
2024-12-31 03:00:00,1380.6878692,1311.7020814714288,68.98578772857127,4.996479600312785
2024-12-31 04:00:00,1385.6812507,1320.032064642857,65.64918605714297,4.737683072783094
2024-12-31 05:00:00,1431.887742,1353.8523355142856,78.03540648571425,5.449827119597917
2024-12-31 06:00:00,1503.38633,1414.6048205285715,88.78150947142854,5.905435462581899
2024-12-31 07:00:00,1622.1037517,1491.8568685285713,130.24688317142864,8.029503848624175
2024-12-31 08:00:00,1706.7674899,1566.4016995857144,140.36579031428573,8.224072180007939
2024-12-31 09:00:00,1744.4473579,1609.286902485714,135.16045541428593,7.748038643997532
2024-12-31 10:00:00,1774.1934864,1655.3280364,118.86545000000001,6.699689234074961
2024-12-31 11:00:00,1812.2416213,1677.7814205285717,134.46020077142816,7.419551520672724
2024-12-31 12:00:00,1797.5814038,1672.2571132428568,125.32429055714329,6.971828385196564
2024-12-31 13:00:00,1795.3156015,1668.706746442857,126.60885505714305,7.052178176993526
2024-12-31 14:00:00,1767.6210989,1663.7592199571427,103.8618789428574,5.8757999102574185
2024-12-31 15:00:00,1772.0348013,1670.9312453428572,101.10355595714282,5.70550622837493
2024-12-31 16:00:00,1832.2169071,1729.5581287428572,102.65877835714286,5.602981718994687
2024-12-31 17:00:00,1859.0578611,1772.8841819714287,86.1736791285714,4.635341423831888
2024-12-31 18:00:00,1791.3608995,1712.837429657143,78.52346984285691,4.383453376970222
2024-12-31 19:00:00,1710.622983,1676.945618785714,33.677364214285944,1.9687192647923137
2024-12-31 20:00:00,1666.3407337,1634.6491915428574,31.69154215714275,1.9018644576234873
2024-12-31 21:00:00,1622.8339992,1590.742340642857,32.09165855714309,1.9775071617283806
2024-12-31 22:00:00,1564.2494169,1525.2243973285713,39.02501957142863,2.494807998635389
2024-12-31 23:00:00,1508.1778991,1456.2606842571429,51.91721484285722,3.442380031814459
