Datetime,Actual,Prediction
2024-12-31 00:00:00,1477.3493339,1464.1901
2024-12-31 01:00:00,1413.3211113,1427.97
2024-12-31 02:00:00,1391.7664066,1392.8507
2024-12-31 03:00:00,1380.6878692,1390.3044
2024-12-31 04:00:00,1385.6812507,1413.9738
2024-12-31 05:00:00,1431.887742,1438.723
2024-12-31 06:00:00,1503.38633,1542.8492
2024-12-31 07:00:00,1622.1037517,1619.8541
2024-12-31 08:00:00,1706.7674899,1684.726
2024-12-31 09:00:00,1744.4473579,1734.4741
2024-12-31 10:00:00,1774.1934864,1761.4818
2024-12-31 11:00:00,1812.2416213,1790.437
2024-12-31 12:00:00,1797.5814038,1801.6426
2024-12-31 13:00:00,1795.3156015,1799.5901
2024-12-31 14:00:00,1767.6210989,1787.8429
2024-12-31 15:00:00,1772.0348013,1776.4609
2024-12-31 16:00:00,1832.2169071,1833.883
2024-12-31 17:00:00,1859.0578611,1872.8102
2024-12-31 18:00:00,1791.3608995,1829.677
2024-12-31 19:00:00,1710.622983,1765.7756
2024-12-31 20:00:00,1666.3407337,1693.0044
2024-12-31 21:00:00,1622.8339992,1637.6028
2024-12-31 22:00:00,1564.2494169,1566.8281
2024-12-31 23:00:00,1508.1778991,1497.9695
