Datetime,Actual,Prediction
2024-12-31 00:00:00,1477.3493339,1556.1962296366833
2024-12-31 01:00:00,1413.3211113,1488.1199222587618
2024-12-31 02:00:00,1391.7664066,1435.1428781183558
2024-12-31 03:00:00,1380.6878692,1415.475832066443
2024-12-31 04:00:00,1385.6812507,1407.3268086083763
2024-12-31 05:00:00,1431.887742,1427.567469237912
2024-12-31 06:00:00,1503.38633,1493.5699486302346
2024-12-31 07:00:00,1622.1037517,1576.9712528987402
2024-12-31 08:00:00,1706.7674899,1690.1302543109641
2024-12-31 09:00:00,1744.4473579,1762.3225895960277
2024-12-31 10:00:00,1774.1934864,1799.4082814011224
2024-12-31 11:00:00,1812.2416213,1829.20609112658
2024-12-31 12:00:00,1797.5814038,1846.7551140784303
2024-12-31 13:00:00,1795.3156015,1826.4201756542204
2024-12-31 14:00:00,1767.6210989,1810.0019941050111
2024-12-31 15:00:00,1772.0348013,1790.8128331055436
2024-12-31 16:00:00,1832.2169071,1810.0397164906635
2024-12-31 17:00:00,1859.0578611,1860.8752012727273
2024-12-31 18:00:00,1791.3608995,1848.1317324036836
2024-12-31 19:00:00,1710.622983,1785.0446320889325
2024-12-31 20:00:00,1666.3407337,1706.4424387959602
2024-12-31 21:00:00,1622.8339992,1652.9753903131666
2024-12-31 22:00:00,1564.2494169,1591.5606242553479
2024-12-31 23:00:00,1508.1778991,1521.397821699354
